task_id	parent_ids	depends_on	kind	status	document	title
B01	C00		監査	DONE	01-baseline.md#b01	残要件と証拠を一行ずつ固定する
B02	C00	B01	調査	DONE	01-baseline.md#b02	対象版の機能と入力資料を確認する
B03	C00	B02	仕様	DONE	01-baseline.md#b03	必須範囲と不足仕様を確定する
B04	C00	B01	文書	DONE	01-baseline.md#b04	全体状態の更新手順を短い入口へ集約する
H01	D02 P03 P04	B01	仕様	DONE	02-hphi.md#h01	Hφ調整と比較写像の専用契約を決める
H02	P03 D02	H01	実装	DONE	02-hphi.md#h02	真空Hφの一様尺度比較を追加する
H03	D02	H02	実装	DONE	02-hphi.md#h03	Hφ調整のstrict要求と試行Project生成を実装する
H04	D02	H03	実装	DONE	02-hphi.md#h04	Hφの実FEM二分調整を実装する
H05	D02 O02	H04	実装	DONE	02-hphi.md#h05	Hφ調整の所有保存とCLI再開を実装する
H06	D02 O02	H05	実装	DONE	02-hphi.md#h06	Hφ調整workerの中止と再起動を接続する
H07	D02 O02	H06	実装	DONE	02-hphi.md#h07	Hφ調整GUIを接続する
H08	P03 D02	H07	実装	DONE	02-hphi.md#h08	同軸寸法と直線一般形状の写像契約を追加する
H09	P03 D02	H08 H09-d	実装	DONE	02-hphi.md#h09	直線一般写像を追跡と調整へ接続する
H09-a	P03 D02	H08	実装	DONE	02-hphi.md#h09-a	明示写像と独立FEM分割を厳密に交差させる
H09-b	P03 D02	H09-a	実装	DONE	02-hphi.md#h09-b	非一様写像の場移送と質量射影を追跡へ接続する
H09-c	P03 D02	H09-b	実装	DONE	02-hphi.md#h09-c	非一様形状調整と所有保存・CLIを接続する
H09-d	P03 D02	H09-c	実装	DONE	02-hphi.md#h09-d	非一様形状調整worker・GUIとH09統合監査
H10	P03 P04 D02	H09 H10-c	実装	DONE	02-hphi.md#h10	Hφの個別ID回復を専用履歴へ追加する
H10-a	P03 P04 D02	H09	実装	DONE	02-hphi.md#h10-a	Hφ個別ID回復核と独立順位交換を検査する
H10-b	P03 P04 D02	H10-a	実装	DONE	02-hphi.md#h10-b	専用履歴の所有回復eventと後続継承を接続する
H10-c	P03 P04 D02	H10-b	実装	DONE	02-hphi.md#h10-c	検索試行・最終細分のID回復を調整へ接続する
H11	P03	H08	実装	DONE	02-hphi.md#h11	曲線Hφの比較領域を構成する
H12	P03	H11 H12-b	実装	DONE	02-hphi.md#h12	曲線Hφの場比較と細分診断を実装する
H12-a	P03	H11	実装	DONE	02-hphi.md#h12-a	曲線Hφ元E/Hの体積比較核を検証する
